"lhwages" "education" "gender"
2.35707327827812 15 "Male"
2.87694873756402 14 "Male"
2.63905732961526 16 "Female"
2.10413415427021 15 "Male"
2.83144707924613 13.5 "Female"
1.90210752639692 12 "Female"
2.63905732961526 14 "Female"
2.95491027903374 18 "Male"
2.77258872223978 7 "Male"
3.13549421592915 14 "Male"
3.58656983528937 17 "Male"
3.00370044320317 20 "Male"
2.53449014997683 13 "Male"
2.61373952163097 19 "Female"
2.89425310460414 13.6 "Male"
2.77321352700862 19 "Female"
3.27336401015227 12.7 "Male"
3.02771531940704 19 "Male"
3.13723183582769 19 "Female"
3.17930304974838 18.3 "Male"
2.484906649788 14 "Female"
3.24259235148552 13 "Male"
1.92424865227413 15.6 "Female"
2.70805020110221 12 "Male"
2.27726728500976 8 "Male"
2.70805020110221 17 "Male"
2.58475198475772 12 "Female"
2.87638551592142 18 "Male"
2.65745841498615 12 "Female"
2.89314568477889 15 "Male"
2.91180703861623 9 "Male"
2.94021956362373 10.5 "Male"
3.02723094061336 19 "Male"
2.74019465442878 14 "Female"
2.34180580614733 13 "Female"
2.73371794785079 15 "Female"
2.82137888640921 12.5 "Male"
2.73176672771953 20 "Female"
2.88926002904347 12 "Female"
1.8961194845523 15.5 "Female"
2.63905732961526 13.5 "Female"
3.24259235148552 14 "Male"
2.91397977168173 17 "Male"
2.4423470353692 12 "Female"
2.63905732961526 8 "Male"
2.10778601468898 13 "Female"
2.73176672771953 11 "Female"
2.62103882411258 8.5 "Male"
2.006870848845 9 "Male"
3.21727454350123 18 "Female"
3.5019472847623 20 "Male"
2.45014265735166 13.4 "Male"
2.64546532591059 14 "Male"
3.15785112303043 13 "Male"
2.76253838638628 12 "Male"
3.16631857412952 9.5 "Male"
2.12465388450138 12.5 "Female"
2.32238772029023 12 "Female"
3.25462899457402 14 "Female"
2.76883167336207 13.2 "Female"
1.90359895098359 13 "Male"
3.03447210186992 12 "Female"
2.16905370036952 12 "Female"
3.04404613383254 14 "Male"
3.69684762376311 14 "Male"
2.39789527279837 13 "Female"
2.70805020110221 12.5 "Male"
3.70868208141012 20 "Male"
2.07944154167984 12 "Female"
2.67414864942653 10.5 "Female"
2.19722457733622 13 "Female"
2.66722820658195 8.5 "Male"
2.484906649788 11 "Female"
3.25501487148407 18 "Male"
3.23632273847192 11 "Male"
2.30258509299405 12.1 "Female"
2.56263899832835 15.1 "Male"
3.07130346040107 9 "Male"
3.02577639490237 12.5 "Male"
2.40784560365154 11 "Male"
3.09693415406296 14 "Male"
2.60268968544438 17 "Male"
3.0708397460408 19.1 "Male"
2.19722457733622 14 "Female"
3.70868208141012 16.8 "Male"
2.56571829252441 10.5 "Female"
2.95334655705755 17 "Male"
3.24843462710975 12.5 "Male"
3.40119738166216 20 "Male"
2.22462355152433 10 "Female"
3.71259598073125 10.5 "Male"
3.06292352309431 18 "Female"
2.70537997254633 16.1 "Female"
2.52972066557779 13 "Male"
1.64287268852034 17.3 "Female"
2.95230271562665 13 "Male"
3.57402961243499 20 "Male"
3.32503602069659 12 "Female"
2.57413778351594 12 "Male"
3.7227976723174 11.1 "Male"
3.44998754583159 15 "Male"
2.70805020110221 17 "Female"
2.69799986524871 13 "Male"
2.95491027903374 14 "Male"
1.98924327376169 11 "Female"
2.63044895507866 12 "Female"
2.77258872223978 11 "Female"
2.55256529826182 12.5 "Female"
1.85941811770187 12.5 "Female"
2.86676189225703 12 "Male"
2.7127060126384 5 "Male"
3.35550242240003 17 "Male"
2.8724340572095 12 "Male"
3.35968070145922 16.3 "Male"
2.2213750375685 13 "Female"
2.02814824729229 11 "Male"
2.58701187272515 8 "Male"
2.64119789411437 8 "Male"
3.13723183582769 14 "Male"
2.50959926237837 20 "Male"
2.4423470353692 8 "Male"
3.32467624375441 13.5 "Female"
2.86789890204411 16.9 "Female"
2.484906649788 6 "Male"
3.0996417369445 16 "Male"
2.55178617862755 17.4 "Female"
2.75937682826755 17.5 "Male"
3.05163990549229 12 "Male"
2.84141491316963 12.5 "Female"
2.97960289162411 11.5 "Male"
2.30258509299405 16 "Male"
1.94591014905531 8 "Female"
2.65535241210176 9 "Male"
2.32727770558442 11.5 "Female"
3.29138251565495 13 "Male"
2.94811641961233 13 "Male"
2.484906649788 14.1 "Female"
2.97909463240097 12 "Female"
3.13723183582769 20 "Male"
2.76757618041624 20 "Female"
2.17815501461587 10 "Female"
2.90361698464619 10 "Male"
2.484906649788 14 "Female"
3.3603753871419 10.1 "Male"
3.54904250892614 18.5 "Male"
2.54944517092557 12.5 "Female"
2.01490302054226 18.8 "Female"
2.90087199253003 10 "Female"
3.07037581654976 12 "Male"
1.94591014905531 16 "Female"
2.42480272571829 12 "Female"
2.25967759198277 18 "Male"
2.73631366637507 17.8 "Female"
2.53210825127229 0 "Female"
2.78624504868727 15 "Female"
2.61373952163097 14.5 "Female"
2.82137888640921 17 "Female"
2.14006616349627 13 "Female"
3.01012815383772 20 "Female"
3.32862668882732 15 "Male"
1.94591014905531 12 "Male"
2.69124308278583 16 "Female"
2.85933964864844 17 "Female"
2.77258872223978 16.5 "Female"
2.19722457733622 10 "Male"
2.45100509811232 12.3 "Female"
2.80214752448133 12 "Male"
3.29138251565495 17 "Male"
2.26695791535089 14 "Female"
3.15059698411491 20 "Male"
2.35991015961332 12.5 "Female"
2.71137799119488 19 "Male"
1.56861591791385 10 "Male"
3.06011453248326 20 "Female"
3.13505933877509 12.5 "Female"
3.48400549284947 16 "Female"
3.05022045883806 17 "Female"
2.89037175789616 13 "Male"
2.99272776453369 12 "Female"
3.06479180948549 12 "Female"
1.75785791755237 14 "Male"
2.87186828633161 13 "Female"
2.77258872223978 13 "Female"
2.97450863710236 13 "Male"
2.75047091698616 14 "Male"
1.94591014905531 13 "Female"
2.42214432805168 9.5 "Female"
2.70805020110221 11 "Male"
3.31418600467253 10 "Female"
1.94591014905531 8 "Female"
